date,cases,deaths,recoveries,country,region,country_code_3,country_code_2,population
2019-12-31,0,0,0,Afghanistan,all,AFG,AF,37172386
2020-01-01,0,0,0,Afghanistan,all,AFG,AF,37172386
2020-01-02,0,0,0,Afghanistan,all,AFG,AF,37172386
2020-01-03,0,0,0,Afghanistan,all,AFG,AF,37172386
2020-01-04,0,0,0,Afghanistan,all,AFG,AF,37172386
2020-01-05,0,0,0,Afghanistan,all,AFG,AF,37172386
2020-01-06,0,0,0,Afghanistan,all,AFG,AF,37172386
2020-01-07,0,0,0,Afghanistan,all,AFG,AF,37172386
2020-01-08,0,0,0,Afghanistan,all,AFG,AF,37172386
2020-01-09,0,0,0,Afghanistan,all,AFG,AF,37172386
2020-01-10,0,0,0,Afghanistan,all,AFG,AF,37172386
2020-01-11,0,0,0,Afghanistan,all,AFG,AF,37172386
2020-01-12,0,0,0,Afghanistan,all,AFG,AF,37172386
2020-01-13,0,0,0,Afghanistan,all,AFG,AF,37172386
2020-01-14,0,0,0,Afghanistan,all,AFG,AF,37172386
2020-01-15,0,0,0,Afghanistan,all,AFG,AF,37172386
2020-01-16,0,0,0,Afghanistan,all,AFG,AF,37172386
2020-01-17,0,0,0,Afghanistan,all,AFG,AF,37172386
2020-01-18,0,0,0,Afghanistan,all,AFG,AF,37172386
2020-01-19,0,0,0,Afghanistan,all,AFG,AF,37172386
2020-01-20,0,0,0,Afghanistan,all,AFG,AF,37172386
2020-01-21,0,0,0,Afghanistan,all,AFG,AF,37172386
2020-01-22,0,0,0,Afghanistan,all,AFG,AF,37172386
2020-01-23,0,0,0,Afghanistan,all,AFG,AF,37172386
2020-01-24,0,0,0,Afghanistan,all,AFG,AF,37172386
2020-01-25,0,0,0,Afghanistan,all,AFG,AF,37172386
2020-01-26,0,0,0,Afghanistan,all,AFG,AF,37172386
2020-01-27,0,0,0,Afghanistan,all,AFG,AF,37172386
2020-01-28,0,0,0,Afghanistan,all,AFG,AF,37172386
2020-01-29,0,0,0,Afghanistan,all,AFG,AF,37172386
2020-01-30,0,0,0,Afghanistan,all,AFG,AF,37172386
2020-01-31,0,0,0,Afghanistan,all,AFG,AF,37172386
2020-02-01,0,0,0,Afghanistan,all,AFG,AF,37172386
2020-02-02,0,0,0,Afghanistan,all,AFG,AF,37172386
2020-02-03,0,0,0,Afghanistan,all,AFG,AF,37172386
2020-02-04,0,0,0,Afghanistan,all,AFG,AF,37172386
2020-02-05,0,0,0,Afghanistan,all,AFG,AF,37172386
2020-02-06,0,0,0,Afghanistan,all,AFG,AF,37172386
2020-02-07,0,0,0,Afghanistan,all,AFG,AF,37172386
2020-02-08,0,0,0,Afghanistan,all,AFG,AF,37172386
2020-02-09,0,0,0,Afghanistan,all,AFG,AF,37172386
2020-02-10,0,0,0,Afghanistan,all,AFG,AF,37172386
2020-02-11,0,0,0,Afghanistan,all,AFG,AF,37172386
2020-02-12,0,0,0,Afghanistan,all,AFG,AF,37172386
2020-02-13,0,0,0,Afghanistan,all,AFG,AF,37172386
2020-02-14,0,0,0,Afghanistan,all,AFG,AF,37172386
2020-02-15,0,0,0,Afghanistan,all,AFG,AF,37172386
2020-02-16,0,0,0,Afghanistan,all,AFG,AF,37172386
2020-02-17,0,0,0,Afghanistan,all,AFG,AF,37172386
2020-02-18,0,0,0,Afghanistan,all,AFG,AF,37172386
2020-02-19,0,0,0,Afghanistan,all,AFG,AF,37172386
2020-02-20,0,0,0,Afghanistan,all,AFG,AF,37172386
2020-02-21,0,0,0,Afghanistan,all,AFG,AF,37172386
2020-02-22,0,0,0,Afghanistan,all,AFG,AF,37172386
2020-02-23,0,0,0,Afghanistan,all,AFG,AF,37172386
2020-02-24,0,0,0,Afghanistan,all,AFG,AF,37172386
2020-02-25,1,0,0,Afghanistan,all,AFG,AF,37172386
2020-02-26,0,0,0,Afghanistan,all,AFG,AF,37172386
2020-02-27,0,0,0,Afghanistan,all,AFG,AF,37172386
2020-02-28,0,0,0,Afghanistan,all,AFG,AF,37172386
2020-02-29,0,0,0,Afghanistan,all,AFG,AF,37172386
2020-03-01,0,0,0,Afghanistan,all,AFG,AF,37172386
2020-03-02,0,0,0,Afghanistan,all,AFG,AF,37172386
2020-03-08,3,0,0,Afghanistan,all,AFG,AF,37172386
2020-03-11,3,0,0,Afghanistan,all,AFG,AF,37172386
2020-03-15,3,0,0,Afghanistan,all,AFG,AF,37172386
2020-03-16,6,0,0,Afghanistan,all,AFG,AF,37172386
2020-03-17,5,0,0,Afghanistan,all,AFG,AF,37172386
2020-03-18,1,0,0,Afghanistan,all,AFG,AF,37172386
2020-03-19,0,0,0,Afghanistan,all,AFG,AF,37172386
2020-03-20,0,0,0,Afghanistan,all,AFG,AF,37172386
2020-03-21,2,0,0,Afghanistan,all,AFG,AF,37172386
2020-03-22,0,0,0,Afghanistan,all,AFG,AF,37172386
2020-03-23,10,0,0,Afghanistan,all,AFG,AF,37172386
2020-03-24,6,1,0,Afghanistan,all,AFG,AF,37172386
2020-03-25,2,0,0,Afghanistan,all,AFG,AF,37172386
2020-03-26,33,0,0,Afghanistan,all,AFG,AF,37172386
2020-03-27,0,0,0,Afghanistan,all,AFG,AF,37172386
2020-03-28,16,1,0,Afghanistan,all,AFG,AF,37172386
2020-03-29,15,1,0,Afghanistan,all,AFG,AF,37172386
2020-03-30,8,1,0,Afghanistan,all,AFG,AF,37172386
2020-03-31,27,0,0,Afghanistan,all,AFG,AF,37172386
2020-04-01,25,0,0,Afghanistan,all,AFG,AF,37172386
2020-04-02,26,0,0,Afghanistan,all,AFG,AF,37172386
2020-04-03,43,0,0,Afghanistan,all,AFG,AF,37172386
2020-04-04,0,0,0,Afghanistan,all,AFG,AF,37172386
2020-04-05,35,1,0,Afghanistan,all,AFG,AF,37172386
2020-04-06,29,2,0,Afghanistan,all,AFG,AF,37172386
2020-04-07,38,0,0,Afghanistan,all,AFG,AF,37172386
2020-04-08,30,4,0,Afghanistan,all,AFG,AF,37172386
2020-04-09,56,3,0,Afghanistan,all,AFG,AF,37172386
2020-04-10,61,1,0,Afghanistan,all,AFG,AF,37172386
2020-04-11,37,0,0,Afghanistan,all,AFG,AF,37172386
2020-04-12,34,3,0,Afghanistan,all,AFG,AF,37172386
2020-04-13,52,0,0,Afghanistan,all,AFG,AF,37172386
2020-04-14,58,3,0,Afghanistan,all,AFG,AF,37172386
2020-04-15,49,2,0,Afghanistan,all,AFG,AF,37172386
2020-04-16,70,2,0,Afghanistan,all,AFG,AF,37172386
2020-04-17,10,4,0,Afghanistan,all,AFG,AF,37172386
2020-04-18,51,1,0,Afghanistan,all,AFG,AF,37172386
2020-04-19,63,0,0,Afghanistan,all,AFG,AF,37172386
2020-04-20,88,3,0,Afghanistan,all,AFG,AF,37172386
2020-04-21,35,2,0,Afghanistan,all,AFG,AF,37172386
2020-04-22,61,1,0,Afghanistan,all,AFG,AF,37172386
2020-04-23,84,4,0,Afghanistan,all,AFG,AF,37172386
2020-04-24,105,2,0,Afghanistan,all,AFG,AF,37172386
2020-04-25,70,1,0,Afghanistan,all,AFG,AF,37172386
2020-04-26,112,4,0,Afghanistan,all,AFG,AF,37172386
2020-04-27,68,10,0,Afghanistan,all,AFG,AF,37172386
2020-04-28,172,0,0,Afghanistan,all,AFG,AF,37172386
